교육지원청,"정보공시 학교코드",학교명,지역,학급수(계),학생수(계),"특수학급 학급수","특수학급 학생수",학교급코드,학교구분,공시연도
서울특별시강서양천교육지원청,S010005548,서울신은초등학교,양천구,34,562,2,5,2,초,2023
서울특별시강남서초교육지원청,S010005549,서울우면초등학교,서초구,40,870,1,4,2,초,2023
서울특별시성동광진교육지원청,S010005551,서울동호초등학교,성동구,23,433,1,4,2,초,2023
서울특별시남부교육지원청,S010005553,서울천왕초등학교,구로구,36,733,3,12,2,초,2023
서울특별시서부교육지원청,S010005555,서울하늘초등학교,마포구,26,494,2,8,2,초,2023
서울특별시서부교육지원청,S010005557,서울은빛초등학교,은평구,31,620,3,17,2,초,2023
서울특별시서부교육지원청,S010005559,서울수리초등학교,은평구,21,401,2,9,2,초,2023
서울특별시동작관악교육지원청,S010005567,서울상현초등학교,동작구,37,698,2,8,2,초,2023
서울특별시서부교육지원청,S010005577,서울구현초등학교,은평구,28,549,3,15,2,초,2023
서울특별시서부교육지원청,S010005581,서울은진초등학교,은평구,30,627,1,7,2,초,2023
서울특별시서부교육지원청,S010005597,서울가재울초등학교,서대문구,66,1732,2,14,2,초,2023
서울특별시강동송파교육지원청,S010005599,서울위례솔초등학교,송파구,41,941,1,6,2,초,2023
서울특별시강동송파교육지원청,S010005600,서울고현초등학교,강동구,50,1338,1,7,2,초,2023
서울특별시서부교육지원청,S010005601,서울어울초등학교,은평구,27,519,1,3,2,초,2023
서울특별시동부교육지원청,S010005606,서울새솔초등학교,중랑구,43,890,2,10,2,초,2023
서울특별시강남서초교육지원청,S010005828,서울율현초등학교,강남구,46,889,2,9,2,초,2023
서울특별시강남서초교육지원청,S010005830,서울우솔초등학교,서초구,28,579,2,8,2,초,2023
서울특별시강남서초교육지원청,S010005831,서울자곡초등학교,강남구,31,618,2,10,2,초,2023
서울특별시강남서초교육지원청,S010005832,서울세명초등학교,강남구,43,880,2,7,2,초,2023
서울특별시강동송파교육지원청,S010006043,서울송례초등학교,송파구,56,1475,2,15,2,초,2023
서울특별시강동송파교육지원청,S010006211,서울위례별초등학교,송파구,70,1722,3,21,2,초,2023
서울특별시강동송파교육지원청,S010006385,서울강솔초등학교,강동구,23,451,1,6,2,초,2023
서울특별시남부교육지원청,S010006386,서울금나래초등학교,금천구,48,1021,3,4,2,초,2023
서울특별시남부교육지원청,S010006431,서울하늘숲초등학교,구로구,30,565,2,10,2,초,2023
서울특별시남부교육지원청,S010006432,서울항동초등학교,구로구,60,1316,2,12,2,초,2023
서울특별시강동송파교육지원청,S010006433,서울해누리초등학교,송파구,29,659,1,6,2,초,2023
서울특별시동부교육지원청,S010006476,서울양원숲초등학교,중랑구,23,506,1,4,2,초,2023
서울특별시강동송파교육지원청,S010006543,서울강빛초등학교,강동구,32,622,1,1,2,초,2023
